REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
UHH,adiastola,Maui,20.81059942,-156.2430573,EMI,private,"Haiku Uka, Flume Rd",4250,A,7/31/07,2007,Y,07-0493,,1,1,KNM,,,,adiastola,adiastola,,CARSON TR,4,Q,786969.0251,2303640.613,20.81059942,-156.2430573,64,859,671,368,102
UHH,adiastola,Maui,20.811286,-156.241901,EMI,private,"Waikamoi, Haiku Uka",4200,A,12/21/10,2010,Y,m0358-06,,1,1,KNM,Heed Trail sponges,,,adiastola,adiastola,,Maui 19,4,Q,788916.941,2303550.941,20.80948832,-156.2243748,1571,26,21,340,107
UHH,adiastola,Maui,20.81163492,-156.2424118,EMI,private,"Waikamoi, Haiku Uka",4200,A,5/21/11,2011,Y,m0389-01,1,1,2,KNM,Heed Trail sponges,,,adiastola,adiastola,,Heed Tr NW,4,Q,787034.2989,2303756.463,20.81163492,-156.2424118,1692,28,17,3833,110
UHH,adiastola,Maui,20.815819,-156.2350986,EMI,private,"Waikamoi, Haiku Uka",3900,A,12/22/10,2010,Y,m0367-02,1,,1,KNM,on rotting Cyanea flwrs,,,adiastola,adiastola,,CYA MCELD,4,Q,787788,2304233,20.815819,-156.2350986,1593,26,43,348,109
UHH,adiastola,Maui,20.81582,-156.23509,EMI,private,"Waikamoi, Haiku Uka",3900,A,8/20/09,2009,Y,m0116-07,,3,3,KNM,on bait sponge,,,adiastola,adiastola,,CYA MCELD,4,Q,787788,2304233,20.81582,-156.23509,553,9,57,127,105
KYK database,adiastola,Maui,20.81899,-156.17388,Koolau,FR,Keanae Valley,,C,12/27/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1539,19
KYK database,adiastola,Lanai,20.82598,-156.8914,Lanai Company,private,Lanaihale,,C,2/20/82,1982,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1530,8
KYK database,adiastola,Lanai,20.82662,-156.89545,Lanai Company,private,Kaiholena Gulch,,,11/28/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1528,5
KYK database,adiastola,Lanai,20.82662,-156.89545,Lanai Company,private,Kaiholena Gulch,,,6/6/71,1971,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1529,6
KYK database,adiastola,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,,,4/13/71,1971,N,P84,,,,,,,,adiastola,adiastola,y,,,,,,,,,,,1568,51
"Montgomery, 1975",adiastola,Maui,20.83590589,-156.5549128,West Maui,FR,"Hanaula, Pohakea Gulch",3200,,4/13/71,1971,N,P84,,,4,,ex Lobelia grayanum stems,elevations for all lower Hanaula sites seem to be way off,,adiastola,adiastola,,,,,,,,,,,,439,50
UHH,adiastola,Maui,20.83590589,-156.5549128,West Maui,FR,Pohakea Gulch,3700,A,5/29/11,2011,Y,m0411-01,1,1,2,KNM,on bait sponge,,,adiastola,adiastola,,Cler Vining,4,Q,754449.7996,2305919.047,20.83590589,-156.5549128,1803,30,4,3843,114
KYK database,adiastola,Lanai,20.83617333,-156.8969566,Lanai Company,private,Lanaihale,,C,8/19/65,1965,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1525,2
KYK database,adiastola,Lanai,20.83617333,-156.8969566,Lanai Company,private,Lanaihale,,C,12/20/65,1965,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1526,3
KYK database,adiastola,Lanai,20.83617333,-156.8969566,Lanai Company,private,Lanaihale,,C,4/14/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1527,4
"Montgomery, 1975",adiastola,Lanai,20.83617333,-156.8969566,Lanai Company,private,Lanaihale,2400,,3/11/73,1973,N,R91,,,9,,ex Clermontia bark,,,adiastola,adiastola,,,,,,,,,,,,437,7
